dataset, similarity_method, auc_10_mean, auc_10_sd, pr_10_mean, pr_10_sd, 
YeastL, hub_promoted, 0.702635542169, 0.00804314160892, 0.00346385542169, 0.00233797811691, 
YeastL, salton_index, 0.703388554217, 0.00618616698747, 0.0, 0.0, 
YeastL, common_neighbors, 0.704819277108, 0.00778921719327, 0.0873493975904, 0.011449745668, 
YeastL, leicht_holme_newman, 0.701807228916, 0.00501756965319, 0.0, 0.0, 
YeastL, hub_depressed, 0.702936746988, 0.0103590485635, 0.000150602409639, 0.000451807228917, 
YeastL, adamic_adar, 0.707981927711, 0.00563301331592, 0.0917168674699, 0.0112791050261, 
YeastL, lowmem_katz_index, 0.833509036145, 0.0109456459565, 0.0885542168674, 0.0103423401887, 
YeastL, resource_allocation, 0.707831325301, 0.0100802412837, 0.073343373494, 0.00759161636212, 
YeastL, sorensen_index, 0.700828313253, 0.00863209343616, 0.000150602409639, 0.000451807228917, 
YeastL, jaccard_index, 0.705195783132, 0.00913133843591, 0.000150602409639, 0.000451807228917, 
YeastL, preferential_attachment, 0.784638554217, 0.0117382961356, 0.00948795180724, 0.00356708412119, 
zachary, hub_promoted, 0.764285714286, 0.106186205338, 0.0428571428571, 0.0654653670707, 
zachary, salton_index, 0.614285714286, 0.157142857143, 0.0, 0.0, 
zachary, common_neighbors, 0.685714285714, 0.102020406122, 0.142857142857, 0.142857142857, 
zachary, leicht_holme_newman, 0.542857142857, 0.150509339327, 0.0, 0.0, 
zachary, hub_depressed, 0.55, 0.127974806194, 0.0142857142857, 0.0428571428571, 
zachary, adamic_adar, 0.778571428572, 0.11715156762, 0.0857142857142, 0.114285714286, 
zachary, lowmem_katz_index, 0.8, 0.126974205962, 0.171428571428, 0.106904496765, 
zachary, resource_allocation, 0.75, 0.0971533607766, 0.0999999999999, 0.128571428571, 
zachary, sorensen_index, 0.621428571428, 0.199616980178, 0.0, 0.0, 
zachary, jaccard_index, 0.635714285714, 0.167362493055, 0.0, 0.0, 
zachary, preferential_attachment, 0.621428571428, 0.146559175205, 0.0571428571428, 0.0947607082958, 
dolphins, hub_promoted, 0.693333333333, 0.0727247474309, 0.0, 0.0, 
dolphins, salton_index, 0.766666666667, 0.0760116950065, 0.0933333333333, 0.0679869268479, 
dolphins, common_neighbors, 0.793333333333, 0.116237305161, 0.126666666667, 0.075718777944, 
dolphins, leicht_holme_newman, 0.736666666667, 0.0795124029459, 0.02, 0.0305505046331, 
dolphins, hub_depressed, 0.746666666667, 0.0884433277427, 0.0933333333332, 0.061101009266, 
dolphins, adamic_adar, 0.796666666667, 0.0737111479583, 0.113333333333, 0.0599999999999, 
dolphins, lowmem_katz_index, 0.8, 0.0829993306532, 0.106666666667, 0.0742368581711, 
dolphins, resource_allocation, 0.726666666667, 0.0628932075471, 0.0933333333332, 0.061101009266, 
dolphins, sorensen_index, 0.716666666667, 0.0778174501996, 0.02, 0.0305505046331, 
dolphins, jaccard_index, 0.796666666667, 0.11, 0.0866666666665, 0.0426874949161, 
dolphins, preferential_attachment, 0.573333333333, 0.074236858171, 0.00666666666667, 0.02, 
facebook, hub_promoted, 0.986115833617, 0.000609302053838, 0.00529298424572, 0.000729350585659, 
facebook, salton_index, 0.991714836223, 0.000796532010784, 0.325116173637, 0.00520557057316, 
facebook, common_neighbors, 0.992083191658, 0.00127326177103, 0.312150062337, 0.00362385470774, 
facebook, leicht_holme_newman, 0.957202765499, 0.00195947358485, 0.00354754618611, 0.000439110747541, 
facebook, hub_depressed, 0.989357361442, 0.000830868992899, 0.321953983906, 0.00512573158055, 
facebook, adamic_adar, 0.992700895387, 0.000696742282367, 0.328063017114, 0.00463677520804, 
